City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
365,Pyapon,MM,82.96,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
370,Kerema,PG,84.25,overcast clouds,-7.9631,145.7785,Frena Lodge
373,Nouakchott,MR,84.09,few clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
376,Taitung,TW,80.87,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
380,Luangwa,ZM,80.85,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
383,Yeppoon,AU,82.18,scattered clouds,-23.1333,150.7333,Villa Mar Colina
384,Bonfim,BR,80.87,scattered clouds,3.0833,-59.95,
385,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
389,Salgueiro,BR,76.53,overcast clouds,-8.0742,-39.1192,Hotel Requinte
391,Clarence Town,AU,79.63,overcast clouds,-32.5833,151.7833,River Downs Cottage
392,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
396,Presidente Medici,BR,75.52,light rain,-11.1753,-61.9014,Oliveira Palace Hotel
397,Marawi,PH,75.65,overcast clouds,7.9986,124.2928,Derogongan Residence
398,Thiruvananthapuram,IN,84.18,few clouds,8.4833,76.9167,Hotel Residency Tower
400,Tevaitoa,PF,80.58,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
405,Ballina,AU,77.18,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
407,Noumea,NC,80.01,light rain,-22.2763,166.4572,Hôtel Le Lagon
408,Bonthe,SL,77.18,moderate rain,7.5264,-12.505,Bonthe Holiday Village
411,Batemans Bay,AU,78.19,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
412,Terre-De-Bas,GP,76.51,clear sky,15.8501,-61.6442,Hôtel Bois Joli
417,Lorengau,PG,85.89,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
418,Tessalit,ML,79.14,clear sky,20.1986,1.0114,
428,Doha,QA,84.18,clear sky,25.2867,51.5333,Movenpick Hotel Doha
435,Trairi,BR,79.79,scattered clouds,-3.2778,-39.2689,janelas do mar
437,Tabou,CI,77.65,light rain,4.423,-7.3528,hotêl doufoulougou
438,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
440,Gouyave,GD,79.57,few clouds,12.1646,-61.7296,Rumboat Retreat
450,Loa Janan,ID,86.43,light rain,-0.583,117.095,Bangsal Pak Tikno
453,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
459,Bontang,ID,85.06,heavy intensity rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
462,Tlapehuala,MX,75.49,broken clouds,18.2167,-100.5167,Iglesia del Dios vivocolumna y apollo de la verdad
464,Kalmunai,LK,86.34,broken clouds,7.4167,81.8167,VS Villa
466,Hambantota,LK,84.36,scattered clouds,6.1241,81.1185,Bungalow 63
467,Port-Gentil,GA,77.63,light rain,-0.7193,8.7815,Fengshui Residence
472,Oussouye,SN,80.78,overcast clouds,12.485,-16.5469,Auberge du Routard
474,Sijunjung,ID,82.11,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
476,Banjar,ID,89.46,few clouds,-8.19,114.9675,The Hamsa Resort
477,Kayan,MM,86.14,overcast clouds,16.9056,96.5631,ဖြိုးရတနာ ရွှေဆိုင်
482,Manaure,CO,82.18,scattered clouds,11.7751,-72.4445,Hotel Palaaima
487,Umm Kaddadah,SD,82.13,clear sky,13.6017,26.6876,
488,Gigmoto,PH,84.51,moderate rain,13.7796,124.39,Cj's Travellers Inn
496,Puerto Escondido,MX,76.03,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
499,Warora,IN,78.67,scattered clouds,20.2333,79.0,Datta mandir ward
505,Hue,VN,80.71,light rain,16.4667,107.6,Saigon Morin Hotel
510,Sohbatpur,PK,83.79,clear sky,28.5202,68.5434,Allu Hotel
511,Port Augusta,AU,84.7,few clouds,-32.5,137.7667,Majestic Oasis Apartments
512,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
521,Barra Patuca,HN,77.97,broken clouds,15.8,-84.2833,
529,Quang Ngai,VN,81.73,overcast clouds,15.1167,108.8,Central Hotel
541,Djenne,ML,83.8,broken clouds,13.9061,-4.5533,Hôtel Chez Baba
544,Alenquer,BR,80.94,broken clouds,-1.9417,-54.7383,Josilene Castro
546,Biak,ID,85.08,few clouds,-0.9131,122.8766,Penginapan Kim
547,Namwala,ZM,76.71,overcast clouds,-15.7504,26.4384,Corner Point Lodge
548,Cam Ranh,VN,85.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
549,Mogok,MM,77.77,scattered clouds,22.9167,96.5,MOGOK HILL HOTEL
550,Grand Gaube,MU,76.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
551,Pizarro,CO,76.64,light rain,4.9533,-77.366,Hotel Limonar
552,Kirakira,SB,83.68,scattered clouds,-10.4544,161.9205,SanBiz Lodge
557,Sampit,ID,86.22,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
563,Nan,TH,77.02,few clouds,18.8333,100.6667,สะเนียน2
564,Abu Zabad,SD,79.2,clear sky,12.35,29.25,حامد محمد نور
569,Praia,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
572,Gondal,IN,76.98,broken clouds,21.9667,70.8,Orchard Palace
574,Myanaung,MM,76.32,overcast clouds,18.2833,95.3167,Taung Hlay Khar
578,Gunjur,GM,77.07,broken clouds,13.2019,-16.7339,Kuba Lodge
585,Eyl,SO,76.68,overcast clouds,7.9803,49.8164,Amiin Hotel
601,Alyangula,AU,87.57,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
602,Maguling,PH,87.26,overcast clouds,6.095,124.4033,
605,Maragogi,BR,76.06,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
606,Gizo,SB,85.39,overcast clouds,-8.103,156.8419,Imagination Island
607,Cancun,MX,80.53,scattered clouds,21.1743,-86.8466,Hotel Tankah Cancun
610,Meulaboh,ID,80.33,overcast clouds,4.1363,96.1285,Kost Pria
612,Roebourne,AU,84.27,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
614,Isangel,VU,82.51,moderate rain,-19.55,169.2667,Tanna Lodge
617,Tura,IN,75.99,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
620,Arlit,NE,85.01,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
623,Acarau,BR,79.75,scattered clouds,-2.8856,-40.12,castelo pizzaria
635,Corn Island,NI,83.64,few clouds,12.1694,-83.0418,Big Fish Guest House
639,Bosaso,SO,82.94,clear sky,11.2842,49.1816,Red Sea Hotel
643,Quatre Cocos,MU,76.08,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
648,Gamba,GA,75.6,overcast clouds,-2.65,10.0,
649,Samdari,IN,80.89,broken clouds,25.8167,72.5833,Karnoba Ki Dhani
650,Tamandare,BR,76.03,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
652,Kudahuvadhoo,MV,82.96,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
654,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
655,Faanui,PF,80.22,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
656,Galle,LK,78.82,overcast clouds,6.0367,80.217,Amangalla
660,Ures,MX,77.7,overcast clouds,29.4333,-110.4,Hotel HACIENDA San Francisco
663,Natal,BR,77.22,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
668,Parvatipuram,IN,80.94,overcast clouds,18.7833,83.4333,Laxman Lodge
671,Dicabisagan,PH,82.76,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
675,Kapit,MY,89.2,scattered clouds,2.0167,112.9333,Hotel Meligai Kapit
676,Rockhampton,AU,82.29,light rain,-23.3833,150.5,Mercure Rockhampton
681,Bhag,PK,81.46,clear sky,29.0415,67.8239,Bukhari hotl
684,Kismayo,SO,77.81,few clouds,-0.3582,42.5454,Agan-Hotel
694,Hobyo,SO,78.21,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
698,Soyo,AO,75.78,overcast clouds,-6.1349,12.3689,Hotel Mpampa
704,Cabatuan,PH,86.29,scattered clouds,10.8794,122.486,MVC Transient Room
708,Nishihara,JP,80.26,scattered clouds,26.1842,127.7558,Minshuku Agaihama
709,Port Hedland,AU,86.05,few clouds,-20.3167,118.5667,The Esplanade Hotel
710,Sao Miguel Do Araguaia,BR,81.73,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
711,Mogadishu,SO,78.46,broken clouds,2.0371,45.3438,Hotel Juba
712,Ati,TD,83.95,broken clouds,13.2154,18.3353,
716,Veraval,IN,79.99,broken clouds,20.9,70.3667,Lords Inn Somnath
717,Sisophon,KH,75.96,overcast clouds,13.5859,102.9737,Pyramid Hotel
719,Prabumulih,ID,82.47,broken clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
