City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Fairmont,US,39.4851,-80.1426,51.26,84,39,3.98,scattered clouds
312,Aras,ES,42.5617,-2.356,55.98,96,74,2.3,broken clouds
313,Zenzeli,RU,45.9241,47.0474,56.53,79,100,3.42,overcast clouds
314,Strezhevoy,RU,60.7333,77.5889,40.98,87,82,8.48,broken clouds
315,Mizdah,LY,31.4451,12.9801,64.06,52,100,9.44,overcast clouds
316,Pucallpa,PE,-8.3791,-74.5539,75.24,100,75,2.3,broken clouds
317,Lac-Megantic,CA,45.5834,-70.8823,45.21,89,100,4.5,overcast clouds
318,Ulaangom,MN,49.9811,92.0667,39.78,41,0,1.36,clear sky
319,El Alto,PE,-4.2714,-81.2147,64.38,85,98,13.82,overcast clouds
320,Buala,SB,-8.145,159.5921,86.18,64,57,1.77,broken clouds
321,Thinadhoo,MV,0.5333,72.9333,82.58,75,87,12.01,overcast clouds
322,Kuytun,RU,54.3419,101.5036,33.71,71,9,7.7,clear sky
323,Tautira,PF,-17.7333,-149.15,82.42,75,72,19.69,broken clouds
324,Lincoln,US,40.8,-96.667,61.9,57,1,1.99,clear sky
325,Camocim,BR,-2.9022,-40.8411,79.38,83,58,13.13,broken clouds
326,Vanavara,RU,60.34,102.2797,35.94,74,98,9.1,overcast clouds
327,Lysa Nad Labem,CZ,50.2014,14.8328,47.57,68,100,1.83,overcast clouds
328,Pozo Colorado,PY,-23.4923,-58.7972,63.5,88,96,3.69,overcast clouds
329,Mezen,RU,65.8522,44.24,34.7,98,100,5.75,light rain
330,Namibe,AO,-15.1961,12.1522,61.86,88,17,4.79,few clouds
331,Katima Mulilo,NA,-17.5,24.2667,67.05,18,10,6.08,clear sky
332,Salaga,GH,8.5508,-0.5188,76.77,81,98,5.41,overcast clouds
333,Santa Cruz,BO,-17.8,-63.1667,74.66,64,75,4.61,broken clouds
334,Hovd,MN,48.0056,91.6419,40.46,36,45,0.58,scattered clouds
335,Maroantsetra,MG,-15.4333,49.7333,70.32,92,75,2.62,light rain
336,Tando Jam,PK,25.4272,68.5362,83.48,19,0,3.85,clear sky
337,Kruisfontein,ZA,-34.0033,24.7314,48.88,81,87,6.46,light rain
338,Todos Santos,MX,23.45,-110.2167,81.19,81,10,8.66,clear sky
339,Sakakah,SA,29.9697,40.2064,65.77,38,66,6.11,broken clouds
340,Sangar,RU,63.9242,127.4739,14.67,76,80,0.98,broken clouds
341,Yellowknife,CA,62.456,-114.3525,34.41,100,75,5.75,broken clouds
342,Paka,MY,4.6374,103.4368,87.73,66,20,2.3,few clouds
343,Ayr,GB,55.4627,-4.6339,58.1,94,90,8.05,overcast clouds
344,Pontianak,ID,-0.0333,109.3333,84.18,79,40,3.44,scattered clouds
345,Belaya Gora,RU,68.5333,146.4167,6.19,84,77,1.7,broken clouds
346,Rawson,AR,-43.3002,-65.1023,50.16,62,2,11.23,clear sky
